step = 40, best_ACC, [acc, mae] = [0.09680365771055222, 1.9462341748044756]
step = 40, best_MAE, [acc, mae] = [0.09680365771055222, 1.9462341748044756]
step = 80, best_ACC, [acc, mae] = [0.12511415779590607, 1.917779315364245]
step = 80, best_MAE, [acc, mae] = [0.12511415779590607, 1.917779315364245]
step = 120, best_ACC, [acc, mae] = [0.23135465383529663, 1.895009985118454]
step = 120, best_MAE, [acc, mae] = [0.23135465383529663, 1.895009985118454]
step = 160, best_ACC, [acc, mae] = [0.23652969300746918, 1.8622464677243802]
step = 160, best_MAE, [acc, mae] = [0.23652969300746918, 1.8622464677243802]
step = 240, best_MAE, [acc, mae] = [0.23652969300746918, 1.8439819683362637]
step = 280, best_ACC, [acc, mae] = [0.2831050455570221, 1.7842415785591317]
step = 280, best_MAE, [acc, mae] = [0.2831050455570221, 1.7842415785591317]
step = 400, best_ACC, [acc, mae] = [0.2910197973251343, 1.7530416951677796]
step = 400, best_MAE, [acc, mae] = [0.2910197973251343, 1.7530416951677796]
step = 440, best_MAE, [acc, mae] = [0.25053274631500244, 1.7434458193027582]
step = 480, best_ACC, [acc, mae] = [0.3802131116390228, 1.6260625780309172]
step = 480, best_MAE, [acc, mae] = [0.3802131116390228, 1.6260625780309172]
step = 520, best_ACC, [acc, mae] = [0.38295283913612366, 1.5866595225302358]
step = 520, best_MAE, [acc, mae] = [0.38295283913612366, 1.5866595225302358]
step = 560, best_MAE, [acc, mae] = [0.2995433807373047, 1.5305588496201126]
step = 600, best_ACC, [acc, mae] = [0.41035008430480957, 1.4563782579744131]
step = 600, best_MAE, [acc, mae] = [0.41035008430480957, 1.4563782579744131]
step = 640, best_MAE, [acc, mae] = [0.3945205807685852, 1.4152118128552609]
step = 680, best_MAE, [acc, mae] = [0.38295283913612366, 1.3328169194555928]
step = 720, best_MAE, [acc, mae] = [0.35981735587120056, 1.2533099770613148]
step = 760, best_ACC, [acc, mae] = [0.4127854108810425, 1.186743697980458]
step = 760, best_MAE, [acc, mae] = [0.4127854108810425, 1.186743697980458]
step = 840, best_MAE, [acc, mae] = [0.4024353325366974, 1.133642897113554]
step = 880, best_MAE, [acc, mae] = [0.38904112577438354, 1.0636686447539934]
step = 920, best_ACC, [acc, mae] = [0.4240487217903137, 1.207699375035023]
step = 1000, best_ACC, [acc, mae] = [0.43713852763175964, 1.0836449856052914]
step = 1240, best_ACC, [acc, mae] = [0.4398782551288605, 1.0237415074851675]
step = 1240, best_MAE, [acc, mae] = [0.4398782551288605, 1.0237415074851675]
step = 1280, best_ACC, [acc, mae] = [0.45205482840538025, 1.0607244251567065]
step = 1400, best_ACC, [acc, mae] = [0.4529680609703064, 1.0105554124272547]
step = 1400, best_MAE, [acc, mae] = [0.4529680609703064, 1.0105554124272547]
step = 1480, best_MAE, [acc, mae] = [0.4508371651172638, 0.9899504488667814]
step = 1520, best_ACC, [acc, mae] = [0.4590563476085663, 0.9495782130174916]
step = 1520, best_MAE, [acc, mae] = [0.4590563476085663, 0.9495782130174916]
step = 1560, best_ACC, [acc, mae] = [0.46240490674972534, 0.9925040333605992]
step = 1640, best_ACC, [acc, mae] = [0.46423137187957764, 0.9919584196423454]
step = 1760, best_ACC, [acc, mae] = [0.4672755300998688, 0.955215677813246]
step = 1800, best_ACC, [acc, mae] = [0.4678843319416046, 0.9775758680021008]
step = 1880, best_ACC, [acc, mae] = [0.4697108268737793, 0.8957730150595019]
step = 1880, best_MAE, [acc, mae] = [0.4697108268737793, 0.8957730150595019]
step = 1960, best_MAE, [acc, mae] = [0.44809743762016296, 0.8714138794393611]
step = 2000, best_ACC, [acc, mae] = [0.48949775099754333, 0.9210480906877345]
step = 2240, best_ACC, [acc, mae] = [0.5010654926300049, 0.8366313057874726]
step = 2240, best_MAE, [acc, mae] = [0.5010654926300049, 0.8366313057874726]
step = 2600, best_MAE, [acc, mae] = [0.455098956823349, 0.8359729703129911]
step = 2640, best_MAE, [acc, mae] = [0.4757991135120392, 0.8328065490265768]
step = 2680, best_MAE, [acc, mae] = [0.48158296942710876, 0.802067154602985]
step = 2720, best_ACC, [acc, mae] = [0.5101978778839111, 0.8546658819868423]
step = 2920, best_ACC, [acc, mae] = [0.5120244026184082, 0.7625401085916782]
step = 2920, best_MAE, [acc, mae] = [0.5120244026184082, 0.7625401085916782]
step = 3080, best_MAE, [acc, mae] = [0.46270930767059326, 0.7542096830253572]
