step = 40, best_ACC, [acc, mae] = [0.04421195015311241, 1.3407531029450523]
step = 40, best_MAE, [acc, mae] = [0.04421195015311241, 1.3407531029450523]
step = 80, best_ACC, [acc, mae] = [0.05264934152364731, 1.3543344929516024]
step = 120, best_ACC, [acc, mae] = [0.23388458788394928, 1.3665245775263695]
step = 160, best_ACC, [acc, mae] = [0.30273371934890747, 1.3549120109558812]
step = 200, best_ACC, [acc, mae] = [0.3118461072444916, 1.3550784725588896]
step = 240, best_ACC, [acc, mae] = [0.31724604964256287, 1.369386380125734]
step = 280, best_ACC, [acc, mae] = [0.31893351674079895, 1.3966558589533824]
step = 320, best_ACC, [acc, mae] = [0.3277084231376648, 1.3442178658417818]
step = 360, best_MAE, [acc, mae] = [0.3142085671424866, 1.2750011091018387]
step = 400, best_ACC, [acc, mae] = [0.3324333429336548, 1.2572137796638425]
step = 400, best_MAE, [acc, mae] = [0.3324333429336548, 1.2572137796638425]
step = 440, best_MAE, [acc, mae] = [0.32737091183662415, 1.2341159087113238]
step = 480, best_ACC, [acc, mae] = [0.3439082205295563, 1.1775489151996437]
step = 480, best_MAE, [acc, mae] = [0.3439082205295563, 1.1775489151996437]
step = 520, best_MAE, [acc, mae] = [0.338508278131485, 1.1115244083702778]
step = 560, best_MAE, [acc, mae] = [0.33040836453437805, 1.0472543910951295]
step = 640, best_ACC, [acc, mae] = [0.34492069482803345, 0.9828961854800164]
step = 640, best_MAE, [acc, mae] = [0.34492069482803345, 0.9828961854800164]
step = 680, best_ACC, [acc, mae] = [0.3553830683231354, 0.9605268365111906]
step = 680, best_MAE, [acc, mae] = [0.3553830683231354, 0.9605268365111906]
step = 720, best_ACC, [acc, mae] = [0.3634829521179199, 0.9229529441742093]
step = 720, best_MAE, [acc, mae] = [0.3634829521179199, 0.9229529441742093]
step = 840, best_ACC, [acc, mae] = [0.3779952824115753, 0.95457142138298]
step = 1080, best_MAE, [acc, mae] = [0.3590955138206482, 0.9128287202464849]
step = 1120, best_MAE, [acc, mae] = [0.36618292331695557, 0.9107309099215012]
step = 1160, best_ACC, [acc, mae] = [0.39622005820274353, 0.8740922623929556]
step = 1160, best_MAE, [acc, mae] = [0.39622005820274353, 0.8740922623929556]
step = 1480, best_MAE, [acc, mae] = [0.37867027521133423, 0.8473657415619459]
step = 1600, best_ACC, [acc, mae] = [0.40769490599632263, 0.8457065891511201]
step = 1600, best_MAE, [acc, mae] = [0.40769490599632263, 0.8457065891511201]
step = 1640, best_MAE, [acc, mae] = [0.40296998620033264, 0.8045991482296274]
step = 1760, best_ACC, [acc, mae] = [0.4161323010921478, 0.8839168071144007]
step = 1840, best_ACC, [acc, mae] = [0.4208572506904602, 0.8252913850497715]
step = 2080, best_ACC, [acc, mae] = [0.4394195079803467, 0.7721087795501119]
step = 2080, best_MAE, [acc, mae] = [0.4394195079803467, 0.7721087795501119]
step = 2360, best_ACC, [acc, mae] = [0.47013163566589355, 0.8097473659206433]
step = 2800, best_MAE, [acc, mae] = [0.4033074676990509, 0.7630463958792856]
step = 2920, best_MAE, [acc, mae] = [0.4505568742752075, 0.7243203682439604]
step = 3400, best_ACC, [acc, mae] = [0.48633143305778503, 0.7244326273496592]
step = 3440, best_ACC, [acc, mae] = [0.49611881375312805, 0.6886013560341245]
step = 3440, best_MAE, [acc, mae] = [0.49611881375312805, 0.6886013560341245]
step = 3560, best_ACC, [acc, mae] = [0.5038812160491943, 0.6899588897335422]
step = 3920, best_MAE, [acc, mae] = [0.49848127365112305, 0.6659893778678143]
