Epoch 0, Average Loss: 2.9924
Epoch 1, Average Loss: 0.6795
Epoch 2, Average Loss: 0.4624
Epoch 3, Average Loss: 0.4054
Epoch 4, Average Loss: 0.3449
Epoch 5, Average Loss: 0.2352
Epoch 6, Average Loss: 0.1909
Epoch 7, Average Loss: 0.2584
Epoch 8, Average Loss: 0.1663
Epoch 9, Average Loss: 0.1351
Epoch 10, Average Loss: 0.2053
Epoch 11, Average Loss: 0.1757
Epoch 12, Average Loss: 0.1301
Epoch 13, Average Loss: 0.1282
Epoch 14, Average Loss: 0.1003
Epoch 15, Average Loss: 0.0960
Epoch 16, Average Loss: 0.0851
Epoch 17, Average Loss: 0.0878
Epoch 18, Average Loss: 0.0890
Epoch 19, Average Loss: 0.0831
Epoch 20, Average Loss: 0.0840
Epoch 21, Average Loss: 0.1007
Epoch 22, Average Loss: 0.1217
Epoch 23, Average Loss: 0.0760
Epoch 24, Average Loss: 0.0990
Epoch 25, Average Loss: 0.0678
Epoch 26, Average Loss: 0.0567
Epoch 27, Average Loss: 0.0651
Epoch 28, Average Loss: 0.0990
Epoch 29, Average Loss: 0.0768
Epoch 30, Average Loss: 0.0902
Epoch 31, Average Loss: 0.0974
Epoch 32, Average Loss: 0.0687
Epoch 33, Average Loss: 0.1276
Epoch 34, Average Loss: 0.1227
Epoch 35, Average Loss: 0.0744
Epoch 36, Average Loss: 0.0613
Epoch 37, Average Loss: 0.0729
Epoch 38, Average Loss: 0.0631
Epoch 39, Average Loss: 0.0818
Epoch 40, Average Loss: 0.0577
Epoch 41, Average Loss: 0.0521
Epoch 42, Average Loss: 0.1018
Epoch 43, Average Loss: 0.1229
Epoch 44, Average Loss: 0.1734
Epoch 45, Average Loss: 0.0632
Epoch 46, Average Loss: 0.1056
Epoch 47, Average Loss: 0.1503
Epoch 48, Average Loss: 0.0688
Epoch 49, Average Loss: 0.0521
Epoch 50, Average Loss: 0.0420
Epoch 51, Average Loss: 0.1477
Epoch 52, Average Loss: 0.0907
Epoch 53, Average Loss: 0.2439
Epoch 54, Average Loss: 0.2620
Epoch 55, Average Loss: 0.1520
Epoch 56, Average Loss: 0.1289
Epoch 57, Average Loss: 0.0751
Epoch 58, Average Loss: 0.0738
Epoch 59, Average Loss: 0.0574
Epoch 60, Average Loss: 0.0765
Epoch 61, Average Loss: 0.0509
Epoch 62, Average Loss: 0.0468
Epoch 63, Average Loss: 0.0538
Epoch 64, Average Loss: 0.0400
Epoch 65, Average Loss: 0.0832
Epoch 66, Average Loss: 0.0635
Epoch 67, Average Loss: 0.0710
Epoch 68, Average Loss: 0.0540
Epoch 69, Average Loss: 0.1029
Epoch 70, Average Loss: 0.0856
Epoch 71, Average Loss: 0.0696
Epoch 72, Average Loss: 0.0906
Epoch 73, Average Loss: 0.0678
Epoch 74, Average Loss: 0.0931
Epoch 75, Average Loss: 0.0797
