Epoch 0, Average Loss: 2.8750
Epoch 1, Average Loss: 0.6085
Epoch 2, Average Loss: 0.3871
Epoch 3, Average Loss: 0.3336
Epoch 4, Average Loss: 0.2799
Epoch 5, Average Loss: 0.1732
Epoch 6, Average Loss: 0.1511
Epoch 7, Average Loss: 0.1198
Epoch 8, Average Loss: 0.1320
Epoch 9, Average Loss: 0.1109
Epoch 10, Average Loss: 0.1400
Epoch 11, Average Loss: 0.0960
Epoch 12, Average Loss: 0.0755
Epoch 13, Average Loss: 0.1186
Epoch 14, Average Loss: 0.0863
Epoch 15, Average Loss: 0.0910
Epoch 16, Average Loss: 0.0866
Epoch 17, Average Loss: 0.1340
Epoch 18, Average Loss: 0.4167
Epoch 19, Average Loss: 0.2212
Epoch 20, Average Loss: 0.1035
Epoch 21, Average Loss: 0.0788
Epoch 22, Average Loss: 0.0593
Epoch 23, Average Loss: 0.0888
Epoch 24, Average Loss: 0.0490
Epoch 25, Average Loss: 0.0622
Epoch 26, Average Loss: 0.0514
Epoch 27, Average Loss: 0.0450
Epoch 28, Average Loss: 0.0518
Epoch 29, Average Loss: 0.0753
Epoch 30, Average Loss: 0.0761
Epoch 31, Average Loss: 0.0515
Epoch 32, Average Loss: 0.0551
Epoch 33, Average Loss: 0.0654
Epoch 34, Average Loss: 0.0621
Epoch 35, Average Loss: 0.0609
Epoch 36, Average Loss: 0.0631
Epoch 37, Average Loss: 0.0987
Epoch 38, Average Loss: 0.1239
Epoch 39, Average Loss: 0.1953
Epoch 40, Average Loss: 0.1223
Epoch 41, Average Loss: 0.1044
Epoch 42, Average Loss: 0.1448
Epoch 43, Average Loss: 0.0793
Epoch 44, Average Loss: 0.0488
Epoch 45, Average Loss: 0.0396
Epoch 46, Average Loss: 0.1628
Epoch 47, Average Loss: 0.0866
Epoch 48, Average Loss: 0.0738
Epoch 49, Average Loss: 0.0831
Epoch 50, Average Loss: 0.0552
Epoch 51, Average Loss: 0.0515
Epoch 52, Average Loss: 0.0507
Epoch 53, Average Loss: 0.0934
Epoch 54, Average Loss: 0.1156
Epoch 55, Average Loss: 0.0822
Epoch 56, Average Loss: 0.0554
Epoch 57, Average Loss: 0.2702
Epoch 58, Average Loss: 0.1257
Epoch 59, Average Loss: 0.1337
Epoch 60, Average Loss: 0.0806
Epoch 61, Average Loss: 0.1156
Epoch 62, Average Loss: 0.0686
Epoch 63, Average Loss: 0.0536
Epoch 64, Average Loss: 0.0626
Epoch 65, Average Loss: 0.0698
Epoch 66, Average Loss: 0.0659
Epoch 67, Average Loss: 0.1258
Epoch 68, Average Loss: 0.0660
Epoch 69, Average Loss: 0.0444
Epoch 70, Average Loss: 0.0717
Epoch 71, Average Loss: 0.0783
Epoch 72, Average Loss: 0.0529
Epoch 73, Average Loss: 0.0701
Epoch 74, Average Loss: 0.1045
Epoch 75, Average Loss: 0.1286
Epoch 76, Average Loss: 0.0498
Epoch 77, Average Loss: 0.0543
Epoch 78, Average Loss: 0.0506
Epoch 79, Average Loss: 0.0940
Epoch 80, Average Loss: 0.0900
Epoch 81, Average Loss: 0.0571
Epoch 82, Average Loss: 0.0543
Epoch 83, Average Loss: 0.0869
Epoch 84, Average Loss: 0.0958
Epoch 85, Average Loss: 0.0936
Epoch 86, Average Loss: 0.0586
Epoch 87, Average Loss: 0.1428
Epoch 88, Average Loss: 0.1385
Epoch 89, Average Loss: 0.0529
Epoch 90, Average Loss: 0.0522
Epoch 91, Average Loss: 0.0832
Epoch 92, Average Loss: 0.0650
Epoch 93, Average Loss: 0.0480
Epoch 94, Average Loss: 0.0797
Epoch 95, Average Loss: 0.0719
Epoch 96, Average Loss: 0.0879
Epoch 97, Average Loss: 0.0672
Epoch 98, Average Loss: 0.0374
Epoch 99, Average Loss: 0.0302
Epoch 100, Average Loss: 0.0467
Epoch 101, Average Loss: 0.0613
Epoch 102, Average Loss: 0.0448
Epoch 103, Average Loss: 0.0453
Epoch 104, Average Loss: 0.1632
Epoch 105, Average Loss: 0.0937
Epoch 106, Average Loss: 0.0416
Epoch 107, Average Loss: 0.0416
Epoch 108, Average Loss: 0.0615
Epoch 109, Average Loss: 0.0686
Epoch 110, Average Loss: 0.0448
Epoch 111, Average Loss: 0.1600
Epoch 112, Average Loss: 0.0858
Epoch 113, Average Loss: 0.0661
Epoch 114, Average Loss: 0.0416
Epoch 115, Average Loss: 0.0439
Epoch 116, Average Loss: 0.0562
Epoch 117, Average Loss: 0.0336
Epoch 118, Average Loss: 0.0261
Epoch 119, Average Loss: 0.0254
Epoch 120, Average Loss: 0.0276
Epoch 121, Average Loss: 0.0325
Epoch 122, Average Loss: 0.0573
Epoch 123, Average Loss: 0.0545
Epoch 124, Average Loss: 0.0436
Epoch 125, Average Loss: 0.0598
Epoch 126, Average Loss: 0.0370
Epoch 127, Average Loss: 0.0460
Epoch 128, Average Loss: 0.1416
Epoch 129, Average Loss: 0.0910
Epoch 130, Average Loss: 0.0522
Epoch 131, Average Loss: 0.0427
Epoch 132, Average Loss: 0.0390
Epoch 133, Average Loss: 0.0638
Epoch 134, Average Loss: 0.1076
Epoch 135, Average Loss: 0.0537
Epoch 136, Average Loss: 0.0435
Epoch 137, Average Loss: 0.0844
Epoch 138, Average Loss: 0.0386
Epoch 139, Average Loss: 0.0442
Epoch 140, Average Loss: 0.0844
Epoch 141, Average Loss: 0.0524
Epoch 142, Average Loss: 0.0313
Epoch 143, Average Loss: 0.0321
Epoch 144, Average Loss: 0.0224
Epoch 145, Average Loss: 0.0639
Epoch 146, Average Loss: 0.0601
Epoch 147, Average Loss: 0.0481
Epoch 148, Average Loss: 0.0589
Epoch 149, Average Loss: 0.0432
Epoch 150, Average Loss: 0.0273
Epoch 151, Average Loss: 0.0316
Epoch 152, Average Loss: 0.0289
Epoch 153, Average Loss: 0.0640
Epoch 154, Average Loss: 0.0596
Epoch 155, Average Loss: 0.0946
Epoch 156, Average Loss: 0.0650
Epoch 157, Average Loss: 0.0422
Epoch 158, Average Loss: 0.0423
Epoch 159, Average Loss: 0.0296
Epoch 160, Average Loss: 0.0423
Epoch 161, Average Loss: 0.0360
Epoch 162, Average Loss: 0.0316
Epoch 163, Average Loss: 0.0277
Epoch 164, Average Loss: 0.0281
Epoch 165, Average Loss: 0.0502
Epoch 166, Average Loss: 0.1586
Epoch 167, Average Loss: 0.1241
Epoch 168, Average Loss: 0.0477
Epoch 169, Average Loss: 0.0345
Epoch 170, Average Loss: 0.0302
Epoch 171, Average Loss: 0.0289
Epoch 172, Average Loss: 0.0305
Epoch 173, Average Loss: 0.0294
Epoch 174, Average Loss: 0.0367
Epoch 175, Average Loss: 0.0451
Epoch 176, Average Loss: 0.0319
Epoch 177, Average Loss: 0.0435
Epoch 178, Average Loss: 0.0420
Epoch 179, Average Loss: 0.0424
Epoch 180, Average Loss: 0.0261
Epoch 181, Average Loss: 0.0202
Epoch 182, Average Loss: 0.0267
Epoch 183, Average Loss: 0.0350
Epoch 184, Average Loss: 0.0623
Epoch 185, Average Loss: 0.0672
Epoch 186, Average Loss: 0.0357
Epoch 187, Average Loss: 0.0252
Epoch 188, Average Loss: 0.3006
Epoch 189, Average Loss: 0.0825
Epoch 190, Average Loss: 0.0537
Epoch 191, Average Loss: 0.0419
Epoch 192, Average Loss: 0.0450
Epoch 193, Average Loss: 0.0488
Epoch 194, Average Loss: 0.0508
Epoch 195, Average Loss: 0.0300
Epoch 196, Average Loss: 0.0255
Epoch 197, Average Loss: 0.0646
Epoch 198, Average Loss: 0.0900
Epoch 199, Average Loss: 0.0631
