Epoch 0, Average Loss: 3.1711
Epoch 1, Average Loss: 0.4276
Epoch 2, Average Loss: 0.2907
Epoch 3, Average Loss: 0.2685
Epoch 4, Average Loss: 0.2313
Epoch 5, Average Loss: 0.2301
Epoch 6, Average Loss: 0.3359
Epoch 7, Average Loss: 0.3363
Epoch 8, Average Loss: 0.1541
Epoch 9, Average Loss: 0.1155
Epoch 10, Average Loss: 0.0886
Epoch 11, Average Loss: 0.0815
Epoch 12, Average Loss: 0.0964
Epoch 13, Average Loss: 0.1086
Epoch 14, Average Loss: 0.0777
Epoch 15, Average Loss: 0.0703
Epoch 16, Average Loss: 0.0856
Epoch 17, Average Loss: 0.1689
Epoch 18, Average Loss: 0.0836
Epoch 19, Average Loss: 0.0661
Epoch 20, Average Loss: 0.0682
Epoch 21, Average Loss: 0.0646
Epoch 22, Average Loss: 0.0510
Epoch 23, Average Loss: 0.0684
Epoch 24, Average Loss: 0.0739
Epoch 25, Average Loss: 0.0802
Epoch 26, Average Loss: 0.0659
Epoch 27, Average Loss: 0.0655
Epoch 28, Average Loss: 0.0845
Epoch 29, Average Loss: 0.1683
Epoch 30, Average Loss: 0.2006
Epoch 31, Average Loss: 0.0675
Epoch 32, Average Loss: 0.0625
Epoch 33, Average Loss: 0.0564
Epoch 34, Average Loss: 0.0431
Epoch 35, Average Loss: 0.0595
Epoch 36, Average Loss: 0.0552
Epoch 37, Average Loss: 0.1066
Epoch 38, Average Loss: 0.2369
Epoch 39, Average Loss: 0.1198
Epoch 40, Average Loss: 0.1153
Epoch 41, Average Loss: 0.1625
Epoch 42, Average Loss: 0.3509
Epoch 43, Average Loss: 0.1271
Epoch 44, Average Loss: 0.0597
Epoch 45, Average Loss: 0.0495
Epoch 46, Average Loss: 0.0551
Epoch 47, Average Loss: 0.0487
Epoch 48, Average Loss: 0.0391
Epoch 49, Average Loss: 0.0376
Epoch 50, Average Loss: 0.0393
Epoch 51, Average Loss: 0.0701
Epoch 52, Average Loss: 0.1274
Epoch 53, Average Loss: 0.1443
Epoch 54, Average Loss: 0.0824
Epoch 55, Average Loss: 0.0565
Epoch 56, Average Loss: 0.0460
Epoch 57, Average Loss: 0.0423
Epoch 58, Average Loss: 0.0440
Epoch 59, Average Loss: 0.2119
Epoch 60, Average Loss: 0.0897
Epoch 61, Average Loss: 0.0680
Epoch 62, Average Loss: 0.0971
Epoch 63, Average Loss: 0.0865
Epoch 64, Average Loss: 0.1621
Epoch 65, Average Loss: 0.0720
Epoch 66, Average Loss: 0.0566
Epoch 67, Average Loss: 0.0714
Epoch 68, Average Loss: 0.0522
Epoch 69, Average Loss: 0.0422
Epoch 70, Average Loss: 0.0877
Epoch 71, Average Loss: 0.0580
Epoch 72, Average Loss: 0.0465
Epoch 73, Average Loss: 0.0601
Epoch 74, Average Loss: 0.0369
Epoch 75, Average Loss: 0.0819
Epoch 76, Average Loss: 0.0968
Epoch 77, Average Loss: 0.1208
Epoch 78, Average Loss: 0.1033
Epoch 79, Average Loss: 0.0634
Epoch 80, Average Loss: 0.0542
Epoch 81, Average Loss: 0.0392
Epoch 82, Average Loss: 0.0500
Epoch 83, Average Loss: 0.0339
Epoch 84, Average Loss: 0.0317
Epoch 85, Average Loss: 0.0586
Epoch 86, Average Loss: 0.0753
Epoch 87, Average Loss: 0.4859
Epoch 88, Average Loss: 0.2982
Epoch 89, Average Loss: 0.1039
Epoch 90, Average Loss: 0.0786
Epoch 91, Average Loss: 0.0451
Epoch 92, Average Loss: 0.0352
Epoch 93, Average Loss: 0.0395
Epoch 94, Average Loss: 0.0290
Epoch 95, Average Loss: 0.0288
Epoch 96, Average Loss: 0.0286
Epoch 97, Average Loss: 0.1347
Epoch 98, Average Loss: 0.0795
Epoch 99, Average Loss: 0.1042
Epoch 100, Average Loss: 0.0679
Epoch 101, Average Loss: 0.0413
Epoch 102, Average Loss: 0.0372
Epoch 103, Average Loss: 0.0583
Epoch 104, Average Loss: 0.1227
Epoch 105, Average Loss: 0.1139
Epoch 106, Average Loss: 0.0814
Epoch 107, Average Loss: 0.0557
Epoch 108, Average Loss: 0.0286
Epoch 109, Average Loss: 0.0291
Epoch 110, Average Loss: 0.0415
Epoch 111, Average Loss: 0.0357
Epoch 112, Average Loss: 0.0426
Epoch 113, Average Loss: 0.0398
Epoch 114, Average Loss: 0.0444
Epoch 115, Average Loss: 0.0342
Epoch 116, Average Loss: 0.0291
Epoch 117, Average Loss: 0.1555
Epoch 118, Average Loss: 0.0561
Epoch 119, Average Loss: 0.0425
Epoch 120, Average Loss: 0.0532
Epoch 121, Average Loss: 0.0295
Epoch 122, Average Loss: 0.0442
Epoch 123, Average Loss: 0.0516
Epoch 124, Average Loss: 0.0442
Epoch 125, Average Loss: 0.0425
Epoch 126, Average Loss: 0.0521
Epoch 127, Average Loss: 0.0373
Epoch 128, Average Loss: 0.0340
Epoch 129, Average Loss: 0.1368
Epoch 130, Average Loss: 0.0757
Epoch 131, Average Loss: 0.0601
Epoch 132, Average Loss: 0.0372
Epoch 133, Average Loss: 0.0353
Epoch 134, Average Loss: 0.0562
Epoch 135, Average Loss: 0.0475
Epoch 136, Average Loss: 0.1148
Epoch 137, Average Loss: 0.0442
Epoch 138, Average Loss: 0.0310
Epoch 139, Average Loss: 0.0261
Epoch 140, Average Loss: 0.0930
Epoch 141, Average Loss: 0.1141
Epoch 142, Average Loss: 0.0413
Epoch 143, Average Loss: 0.0462
Epoch 144, Average Loss: 0.0333
Epoch 145, Average Loss: 0.0421
Epoch 146, Average Loss: 0.1273
Epoch 147, Average Loss: 0.0678
Epoch 148, Average Loss: 0.0458
Epoch 149, Average Loss: 0.0325
Epoch 150, Average Loss: 0.0232
Epoch 151, Average Loss: 0.0657
Epoch 152, Average Loss: 0.0975
Epoch 153, Average Loss: 0.0440
Epoch 154, Average Loss: 0.0302
Epoch 155, Average Loss: 0.8415
Epoch 156, Average Loss: 0.8962
