Epoch 0, Average Loss: 3.5874
Epoch 1, Average Loss: 0.4508
Epoch 2, Average Loss: 0.3299
Epoch 3, Average Loss: 0.2870
Epoch 4, Average Loss: 0.2528
Epoch 5, Average Loss: 0.1861
Epoch 6, Average Loss: 0.1360
Epoch 7, Average Loss: 0.1182
Epoch 8, Average Loss: 0.1125
Epoch 9, Average Loss: 0.1165
Epoch 10, Average Loss: 0.1059
Epoch 11, Average Loss: 0.1021
Epoch 12, Average Loss: 0.0812
Epoch 13, Average Loss: 0.0921
Epoch 14, Average Loss: 0.1335
Epoch 15, Average Loss: 0.1215
Epoch 16, Average Loss: 0.1393
Epoch 17, Average Loss: 0.0708
Epoch 18, Average Loss: 0.1930
Epoch 19, Average Loss: 0.0607
Epoch 20, Average Loss: 0.0532
Epoch 21, Average Loss: 0.0871
Epoch 22, Average Loss: 0.0587
Epoch 23, Average Loss: 0.0980
Epoch 24, Average Loss: 0.1041
Epoch 25, Average Loss: 0.1168
Epoch 26, Average Loss: 0.1204
Epoch 27, Average Loss: 0.0802
Epoch 28, Average Loss: 0.0990
Epoch 29, Average Loss: 0.1155
Epoch 30, Average Loss: 0.0774
Epoch 31, Average Loss: 0.0744
Epoch 32, Average Loss: 0.1282
Epoch 33, Average Loss: 0.0828
Epoch 34, Average Loss: 0.1910
Epoch 35, Average Loss: 0.1114
Epoch 36, Average Loss: 0.0765
Epoch 37, Average Loss: 0.0563
Epoch 38, Average Loss: 0.0473
Epoch 39, Average Loss: 0.0377
Epoch 40, Average Loss: 0.1131
Epoch 41, Average Loss: 0.1064
Epoch 42, Average Loss: 0.0546
Epoch 43, Average Loss: 0.0912
Epoch 44, Average Loss: 0.1724
Epoch 45, Average Loss: 0.3589
Epoch 46, Average Loss: 0.1209
Epoch 47, Average Loss: 0.0853
Epoch 48, Average Loss: 0.0549
Epoch 49, Average Loss: 0.0515
Epoch 50, Average Loss: 0.0434
Epoch 51, Average Loss: 0.0488
Epoch 52, Average Loss: 0.0850
Epoch 53, Average Loss: 0.0674
Epoch 54, Average Loss: 0.1183
Epoch 55, Average Loss: 0.0563
Epoch 56, Average Loss: 0.0861
Epoch 57, Average Loss: 0.0647
Epoch 58, Average Loss: 0.1490
Epoch 59, Average Loss: 0.1287
Epoch 60, Average Loss: 0.0762
Epoch 61, Average Loss: 0.0520
Epoch 62, Average Loss: 0.1793
Epoch 63, Average Loss: 0.0864
Epoch 64, Average Loss: 0.0817
Epoch 65, Average Loss: 0.0837
Epoch 66, Average Loss: 0.0767
Epoch 67, Average Loss: 0.0561
Epoch 68, Average Loss: 0.0499
Epoch 69, Average Loss: 0.0482
Epoch 70, Average Loss: 0.0687
Epoch 71, Average Loss: 0.1896
Epoch 72, Average Loss: 0.0708
Epoch 73, Average Loss: 0.2313
Epoch 74, Average Loss: 0.1431
Epoch 75, Average Loss: 0.0806
Epoch 76, Average Loss: 0.0746
Epoch 77, Average Loss: 0.0515
Epoch 78, Average Loss: 0.0411
Epoch 79, Average Loss: 0.1360
Epoch 80, Average Loss: 0.1093
Epoch 81, Average Loss: 0.0668
Epoch 82, Average Loss: 0.0536
Epoch 83, Average Loss: 0.0397
Epoch 84, Average Loss: 0.0296
Epoch 85, Average Loss: 0.0603
Epoch 86, Average Loss: 0.1912
Epoch 87, Average Loss: 0.0668
Epoch 88, Average Loss: 0.0500
Epoch 89, Average Loss: 0.0573
Epoch 90, Average Loss: 0.1013
Epoch 91, Average Loss: 0.0842
Epoch 92, Average Loss: 0.1026
Epoch 93, Average Loss: 0.0461
Epoch 94, Average Loss: 0.0387
Epoch 95, Average Loss: 0.0361
Epoch 96, Average Loss: 0.0792
Epoch 97, Average Loss: 0.0347
Epoch 98, Average Loss: 0.0366
Epoch 99, Average Loss: 0.1151
Epoch 100, Average Loss: 0.1774
Epoch 101, Average Loss: 0.0575
Epoch 102, Average Loss: 0.0602
Epoch 103, Average Loss: 0.0751
Epoch 104, Average Loss: 0.0391
Epoch 105, Average Loss: 0.0396
Epoch 106, Average Loss: 0.0883
Epoch 107, Average Loss: 0.0457
Epoch 108, Average Loss: 0.0456
Epoch 109, Average Loss: 0.0318
Epoch 110, Average Loss: 0.0309
Epoch 111, Average Loss: 0.0455
Epoch 112, Average Loss: 0.1079
Epoch 113, Average Loss: 0.1128
Epoch 114, Average Loss: 0.0492
Epoch 115, Average Loss: 0.0366
Epoch 116, Average Loss: 0.0388
Epoch 117, Average Loss: 0.0362
Epoch 118, Average Loss: 0.0380
Epoch 119, Average Loss: 0.0810
Epoch 120, Average Loss: 0.0920
Epoch 121, Average Loss: 0.0983
Epoch 122, Average Loss: 0.1565
Epoch 123, Average Loss: 0.0954
Epoch 124, Average Loss: 0.0463
Epoch 125, Average Loss: 0.0452
Epoch 126, Average Loss: 0.0826
Epoch 127, Average Loss: 0.0575
Epoch 128, Average Loss: 0.0467
Epoch 129, Average Loss: 0.0304
Epoch 130, Average Loss: 0.0313
Epoch 131, Average Loss: 0.0476
Epoch 132, Average Loss: 0.0527
Epoch 133, Average Loss: 0.0390
Epoch 134, Average Loss: 0.0391
Epoch 135, Average Loss: 0.1095
Epoch 136, Average Loss: 0.0723
Epoch 137, Average Loss: 0.0964
Epoch 138, Average Loss: 0.0591
Epoch 139, Average Loss: 0.0343
Epoch 140, Average Loss: 0.0336
Epoch 141, Average Loss: 0.0329
Epoch 142, Average Loss: 0.0340
Epoch 143, Average Loss: 0.0667
Epoch 144, Average Loss: 0.0683
Epoch 145, Average Loss: 0.0458
Epoch 146, Average Loss: 0.0489
Epoch 147, Average Loss: 0.0681
Epoch 148, Average Loss: 0.0478
Epoch 149, Average Loss: 0.0576
Epoch 150, Average Loss: 0.0411
Epoch 151, Average Loss: 0.0812
Epoch 152, Average Loss: 0.0405
Epoch 153, Average Loss: 0.0346
Epoch 154, Average Loss: 0.0506
Epoch 155, Average Loss: 0.0345
Epoch 156, Average Loss: 0.0635
Epoch 157, Average Loss: 0.0753
Epoch 158, Average Loss: 0.0386
Epoch 159, Average Loss: 0.0540
Epoch 160, Average Loss: 0.0660
Epoch 161, Average Loss: 0.0319
Epoch 162, Average Loss: 0.0286
Epoch 163, Average Loss: 0.0853
Epoch 164, Average Loss: 0.0808
Epoch 165, Average Loss: 0.0445
Epoch 166, Average Loss: 0.1069
Epoch 167, Average Loss: 0.1531
Epoch 168, Average Loss: 0.0675
Epoch 169, Average Loss: 0.0462
Epoch 170, Average Loss: 0.0355
Epoch 171, Average Loss: 0.0246
Epoch 172, Average Loss: 0.0258
Epoch 173, Average Loss: 0.1163
Epoch 174, Average Loss: 0.0551
Epoch 175, Average Loss: 0.0755
Epoch 176, Average Loss: 0.0356
Epoch 177, Average Loss: 0.0376
Epoch 178, Average Loss: 0.0480
Epoch 179, Average Loss: 0.0665
Epoch 180, Average Loss: 0.0301
Epoch 181, Average Loss: 0.0331
Epoch 182, Average Loss: 0.0236
Epoch 183, Average Loss: 0.0214
