step = 40, best_ACC, [acc, mae] = [0.05853816494345665, 1.481713047581704]
step = 40, best_MAE, [acc, mae] = [0.05853816494345665, 1.481713047581704]
step = 80, best_MAE, [acc, mae] = [0.05789133161306381, 1.4629452909771175]
step = 120, best_ACC, [acc, mae] = [0.19178526103496552, 1.439063690111523]
step = 120, best_MAE, [acc, mae] = [0.19178526103496552, 1.439063690111523]
step = 160, best_ACC, [acc, mae] = [0.20504528284072876, 1.4288863706356703]
step = 160, best_MAE, [acc, mae] = [0.20504528284072876, 1.4288863706356703]
step = 200, best_MAE, [acc, mae] = [0.20504528284072876, 1.418584255590029]
step = 240, best_ACC, [acc, mae] = [0.20536869764328003, 1.4107834615860972]
step = 240, best_MAE, [acc, mae] = [0.20536869764328003, 1.4107834615860972]
step = 280, best_ACC, [acc, mae] = [0.20860284566879272, 1.3929614621383388]
step = 280, best_MAE, [acc, mae] = [0.20860284566879272, 1.3929614621383388]
step = 320, best_ACC, [acc, mae] = [0.2108667492866516, 1.3827821539197462]
step = 320, best_MAE, [acc, mae] = [0.2108667492866516, 1.3827821539197462]
step = 360, best_ACC, [acc, mae] = [0.21765847504138947, 1.3813792489260246]
step = 360, best_MAE, [acc, mae] = [0.21765847504138947, 1.3813792489260246]
step = 440, best_MAE, [acc, mae] = [0.21765847504138947, 1.3067156464707246]
step = 480, best_ACC, [acc, mae] = [0.22542044520378113, 1.317427377033386]
step = 520, best_MAE, [acc, mae] = [0.2247736155986786, 1.304082948639495]
step = 560, best_ACC, [acc, mae] = [0.22736093401908875, 1.2216167604897255]
step = 560, best_MAE, [acc, mae] = [0.22736093401908875, 1.2216167604897255]
step = 600, best_ACC, [acc, mae] = [0.24450194835662842, 1.2119406386375557]
step = 600, best_MAE, [acc, mae] = [0.24450194835662842, 1.2119406386375557]
step = 640, best_MAE, [acc, mae] = [0.23382924497127533, 1.1677835444763385]
step = 720, best_ACC, [acc, mae] = [0.25032341480255127, 1.118096767483448]
step = 720, best_MAE, [acc, mae] = [0.25032341480255127, 1.118096767483448]
step = 760, best_ACC, [acc, mae] = [0.25161707401275635, 1.1933332306535394]
step = 800, best_ACC, [acc, mae] = [0.30304011702537537, 1.1376437467824376]
step = 920, best_ACC, [acc, mae] = [0.3302069902420044, 1.09303504340051]
step = 920, best_MAE, [acc, mae] = [0.3302069902420044, 1.09303504340051]
step = 960, best_MAE, [acc, mae] = [0.2784605324268341, 1.0881862366163013]
step = 1080, best_MAE, [acc, mae] = [0.31080207228660583, 1.0574948194982607]
step = 1160, best_MAE, [acc, mae] = [0.3143596351146698, 1.039956840335814]
step = 1480, best_ACC, [acc, mae] = [0.34411385655403137, 1.0372788388023533]
step = 1480, best_MAE, [acc, mae] = [0.34411385655403137, 1.0372788388023533]
step = 1520, best_MAE, [acc, mae] = [0.3185640275478363, 1.0277661354824263]
step = 1560, best_MAE, [acc, mae] = [0.32761967182159424, 1.0189042120663112]
step = 1640, best_MAE, [acc, mae] = [0.33926260471343994, 0.9503036762483594]
step = 1680, best_ACC, [acc, mae] = [0.3521992266178131, 1.008444221603854]
step = 1720, best_ACC, [acc, mae] = [0.3774256110191345, 0.9648784033091229]
step = 2000, best_ACC, [acc, mae] = [0.38874515891075134, 0.9317556169697782]
step = 2000, best_MAE, [acc, mae] = [0.38874515891075134, 0.9317556169697782]
step = 2080, best_MAE, [acc, mae] = [0.38033634424209595, 0.923691455198314]
step = 2240, best_MAE, [acc, mae] = [0.36125484108924866, 0.8985999755160405]
step = 2280, best_MAE, [acc, mae] = [0.37160414457321167, 0.8874754050830828]
step = 2400, best_ACC, [acc, mae] = [0.4100905656814575, 0.8703390064886997]
step = 2400, best_MAE, [acc, mae] = [0.4100905656814575, 0.8703390064886997]
step = 2600, best_MAE, [acc, mae] = [0.3900388181209564, 0.8542117903487002]
step = 2720, best_ACC, [acc, mae] = [0.41526520252227783, 0.8424562381767394]
step = 2720, best_MAE, [acc, mae] = [0.41526520252227783, 0.8424562381767394]
step = 2840, best_ACC, [acc, mae] = [0.42270374298095703, 0.8826336432244964]
step = 3000, best_MAE, [acc, mae] = [0.4091203212738037, 0.8419831654582753]
step = 3040, best_ACC, [acc, mae] = [0.4527813792228699, 0.8147771167341112]
step = 3040, best_MAE, [acc, mae] = [0.4527813792228699, 0.8147771167341112]
step = 3880, best_MAE, [acc, mae] = [0.4133247137069702, 0.8113879474714245]
step = 4000, best_ACC, [acc, mae] = [0.4586028456687927, 0.759433352267404]
step = 4000, best_MAE, [acc, mae] = [0.4586028456687927, 0.759433352267404]
step = 4360, best_ACC, [acc, mae] = [0.46798190474510193, 0.7411543584772403]
step = 4360, best_MAE, [acc, mae] = [0.46798190474510193, 0.7411543584772403]
step = 4800, best_MAE, [acc, mae] = [0.44275549054145813, 0.7244866748475015]
step = 4960, best_MAE, [acc, mae] = [0.4311125576496124, 0.7164979418924742]
step = 5480, best_MAE, [acc, mae] = [0.4653945565223694, 0.6975835253934014]
step = 5960, best_ACC, [acc, mae] = [0.491591215133667, 0.6659533351696872]
step = 5960, best_MAE, [acc, mae] = [0.491591215133667, 0.6659533351696872]
step = 7400, best_ACC, [acc, mae] = [0.4948253631591797, 0.6506280749237917]
step = 7400, best_MAE, [acc, mae] = [0.4948253631591797, 0.6506280749237917]
step = 7840, best_ACC, [acc, mae] = [0.49838292598724365, 0.668286197770506]
step = 8000, best_ACC, [acc, mae] = [0.5038809776306152, 0.6611250175290017]
step = 8360, best_MAE, [acc, mae] = [0.5038809776306152, 0.6386648795750233]
step = 8400, best_ACC, [acc, mae] = [0.5135834217071533, 0.6280340721849261]
step = 8400, best_MAE, [acc, mae] = [0.5135834217071533, 0.6280340721849261]
step = 9960, best_ACC, [acc, mae] = [0.5145536661148071, 0.638020205235602]
step = 11400, best_ACC, [acc, mae] = [0.5171409845352173, 0.5868325349780281]
step = 11400, best_MAE, [acc, mae] = [0.5171409845352173, 0.5868325349780281]
step = 12000, best_ACC, [acc, mae] = [0.5210220217704773, 0.5930066634778391]
step = 12040, best_ACC, [acc, mae] = [0.5310478806495667, 0.5807316302857608]
step = 12040, best_MAE, [acc, mae] = [0.5310478806495667, 0.5807316302857608]
step = 12080, best_ACC, [acc, mae] = [0.5358991026878357, 0.5786123748720403]
step = 12080, best_MAE, [acc, mae] = [0.5358991026878357, 0.5786123748720403]
step = 12480, best_MAE, [acc, mae] = [0.529107391834259, 0.5769149995392607]
step = 12520, best_ACC, [acc, mae] = [0.5394566655158997, 0.5697485684129105]
step = 12520, best_MAE, [acc, mae] = [0.5394566655158997, 0.5697485684129105]
step = 12600, best_MAE, [acc, mae] = [0.5287839770317078, 0.5689526681869795]
step = 12640, best_MAE, [acc, mae] = [0.5304010510444641, 0.5647792284147412]
step = 12680, best_MAE, [acc, mae] = [0.5284605622291565, 0.5646159041134088]
step = 13080, best_MAE, [acc, mae] = [0.5333117842674255, 0.5629045925533931]
step = 13240, best_MAE, [acc, mae] = [0.5333117842674255, 0.5607842115002001]
step = 13520, best_MAE, [acc, mae] = [0.5358991026878357, 0.556510818085512]
step = 13600, best_ACC, [acc, mae] = [0.5397800803184509, 0.5486409616595737]
step = 13600, best_MAE, [acc, mae] = [0.5397800803184509, 0.5486409616595737]
step = 14840, best_MAE, [acc, mae] = [0.532664954662323, 0.5471999011859828]
step = 15240, best_ACC, [acc, mae] = [0.5404269099235535, 0.5615100722525673]
step = 15280, best_ACC, [acc, mae] = [0.5449547171592712, 0.5559811092499466]
step = 15840, best_MAE, [acc, mae] = [0.532664954662323, 0.5450598585802022]
