step = 40, best_ACC, [acc, mae] = [0.10609357804059982, 1.7838051774700818]
step = 40, best_MAE, [acc, mae] = [0.10609357804059982, 1.7838051774700818]
step = 80, best_ACC, [acc, mae] = [0.1371055394411087, 1.792208130959026]
step = 120, best_ACC, [acc, mae] = [0.29107725620269775, 1.7894916699001526]
step = 160, best_ACC, [acc, mae] = [0.30059847235679626, 1.797549380412987]
step = 200, best_ACC, [acc, mae] = [0.3245375454425812, 1.796587862090529]
step = 240, best_ACC, [acc, mae] = [0.34085962176322937, 1.813337218577941]
step = 280, best_MAE, [acc, mae] = [0.32834601402282715, 1.7527537742341839]
step = 320, best_ACC, [acc, mae] = [0.3596300184726715, 1.7519820734526115]
step = 320, best_MAE, [acc, mae] = [0.3596300184726715, 1.7519820734526115]
step = 360, best_MAE, [acc, mae] = [0.3484765887260437, 1.708510339939085]
step = 400, best_MAE, [acc, mae] = [0.34303590655326843, 1.6875243189124445]
step = 440, best_ACC, [acc, mae] = [0.36833512783050537, 1.6270894711820452]
step = 440, best_MAE, [acc, mae] = [0.36833512783050537, 1.6270894711820452]
step = 480, best_ACC, [acc, mae] = [0.3884657025337219, 1.5846915877046939]
step = 480, best_MAE, [acc, mae] = [0.3884657025337219, 1.5846915877046939]
step = 520, best_MAE, [acc, mae] = [0.3740478754043579, 1.5195473809274302]
step = 560, best_ACC, [acc, mae] = [0.3892818093299866, 1.4091513073371902]
step = 560, best_MAE, [acc, mae] = [0.3892818093299866, 1.4091513073371902]
step = 600, best_ACC, [acc, mae] = [0.3982589542865753, 1.3279741422248248]
step = 600, best_MAE, [acc, mae] = [0.3982589542865753, 1.3279741422248248]
step = 680, best_MAE, [acc, mae] = [0.390641987323761, 1.2595042228667301]
step = 800, best_ACC, [acc, mae] = [0.4246463477611542, 1.179495502517401]
step = 800, best_MAE, [acc, mae] = [0.4246463477611542, 1.179495502517401]
step = 840, best_MAE, [acc, mae] = [0.3422197997570038, 1.145818623114142]
step = 880, best_ACC, [acc, mae] = [0.427366703748703, 1.2184430202458798]
step = 920, best_ACC, [acc, mae] = [0.43607181310653687, 1.066154284850765]
step = 920, best_MAE, [acc, mae] = [0.43607181310653687, 1.066154284850765]
step = 1000, best_ACC, [acc, mae] = [0.4450489580631256, 1.124848007208623]
step = 1040, best_ACC, [acc, mae] = [0.4529379606246948, 1.0604595068101579]
step = 1040, best_MAE, [acc, mae] = [0.4529379606246948, 1.0604595068101579]
step = 1080, best_MAE, [acc, mae] = [0.4115886688232422, 1.0558585598820505]
step = 1200, best_MAE, [acc, mae] = [0.4447769224643707, 1.0271275091808565]
step = 1280, best_MAE, [acc, mae] = [0.3808487355709076, 1.024874382797234]
step = 1400, best_MAE, [acc, mae] = [0.40886831283569336, 1.0247698128569125]
step = 1440, best_MAE, [acc, mae] = [0.3982589542865753, 0.9700518940151586]
step = 1560, best_ACC, [acc, mae] = [0.47034817934036255, 0.9593878999513251]
step = 1560, best_MAE, [acc, mae] = [0.47034817934036255, 0.9593878999513251]
step = 1600, best_MAE, [acc, mae] = [0.4513057470321655, 0.9184122630439413]
step = 1680, best_ACC, [acc, mae] = [0.4853101074695587, 0.8927179790955067]
step = 1680, best_MAE, [acc, mae] = [0.4853101074695587, 0.8927179790955067]
step = 1880, best_MAE, [acc, mae] = [0.4771490693092346, 0.8412768202184145]
step = 2000, best_ACC, [acc, mae] = [0.4891186058521271, 0.8949733159162201]
step = 2040, best_ACC, [acc, mae] = [0.4970076084136963, 0.8433785538173356]
step = 2080, best_ACC, [acc, mae] = [0.5125135779380798, 0.9026058816623169]
step = 2200, best_MAE, [acc, mae] = [0.4948313236236572, 0.8208647353113573]
step = 2400, best_ACC, [acc, mae] = [0.5133296847343445, 0.8676509958450033]
step = 2480, best_MAE, [acc, mae] = [0.4980957508087158, 0.8140780166162014]
step = 2560, best_ACC, [acc, mae] = [0.5193144679069519, 0.8200988773879099]
step = 2720, best_MAE, [acc, mae] = [0.40233948826789856, 0.8063570720366202]
step = 2800, best_MAE, [acc, mae] = [0.4997279644012451, 0.794663827305099]
step = 2880, best_ACC, [acc, mae] = [0.5201305747032166, 0.8002580176177516]
step = 2960, best_MAE, [acc, mae] = [0.5198585391044617, 0.7751692675817962]
step = 3000, best_ACC, [acc, mae] = [0.5209466814994812, 0.7654773929030814]
step = 3000, best_MAE, [acc, mae] = [0.5209466814994812, 0.7654773929030814]
step = 3040, best_ACC, [acc, mae] = [0.5247551798820496, 0.8031334976196398]
step = 3200, best_MAE, [acc, mae] = [0.4904787540435791, 0.7599332414220392]
step = 3240, best_ACC, [acc, mae] = [0.5282915830612183, 0.7614331496001044]
step = 3280, best_MAE, [acc, mae] = [0.5119695067405701, 0.7274618041882754]
step = 3520, best_MAE, [acc, mae] = [0.5133296847343445, 0.7245829362094189]
step = 3600, best_ACC, [acc, mae] = [0.531283974647522, 0.7470110447901122]
step = 3760, best_ACC, [acc, mae] = [0.5356365442276001, 0.7116900144448788]
step = 3760, best_MAE, [acc, mae] = [0.5356365442276001, 0.7116900144448788]
